id_annonce,site,prix,surface,prix_m2,type,description,code_postal,ville,latitude,longitude,url,image,date_dernier_scan,quartier,type_local,dist_vice_sex-shop,nb_vice_sex-shop_500m,dist_vice_bar,nb_vice_bar_500m,dist_vice_tabac,nb_vice_tabac_500m,dist_vice_cbd_shop,nb_vice_cbd_shop_500m,dist_gentrification_épicerie_fine,nb_gentrification_épicerie_fine_500m,dist_gentrification_atelier_vélo,nb_gentrification_atelier_vélo_500m,dist_nuisance_aire_de_jeux,nb_nuisance_aire_de_jeux_500m,dist_nuisance_discothèque,nb_nuisance_discothèque_500m,dist_superstition_pompes_funèbres,nb_superstition_pompes_funèbres_500m,dist_gentrification_salle_sport,nb_gentrification_salle_sport_500m,dist_vice_kebab,nb_vice_kebab_500m,dist_gentrification_crèche,nb_gentrification_crèche_500m,dist_nuisance_école,nb_nuisance_école_500m,dist_gentrification_fleuriste,nb_gentrification_fleuriste_500m,dist_nuisance_station_service,nb_nuisance_station_service_500m,dist_vice_casino,nb_vice_casino_500m,dist_gentrification_yoga,nb_gentrification_yoga_500m,dist_gentrification_torréfacteur,nb_gentrification_torréfacteur_500m,dist_nuisance_salle_de_concert,nb_nuisance_salle_de_concert_500m,dist_superstition_cimetière,nb_superstition_cimetière_500m
1277,SeLoger,1575.0,86.0,18.31,Appartement,"3 pièce - 2 chambre - s, s, 86 m²",59000,Lille,50.62969571442321,3.0635473845101973,https://www.seloger.com/annonces/locations/appartement/lille-59/centre/275137013.htm,,2026-08-12,Lille-Centre,T3,,0,553683.0,0,552920.0,0,555022.0,0,554454.0,0,552910.0,0,552091.0,0,555536.0,0,,0,,0,553870.0,0,552601.0,0,552384.0,0,,0,554305.0,0,554763.0,0,554866.0,0,555087.0,0,555923.0,0,552426.0,0
1278,SeLoger,1340.0,80.0,16.75,Appartement,"3 pièce - 2 chambre - s, s, 80 m², Étage 3/5",59000,Lille,50.620592730228104,3.034859976207191,https://www.seloger.com/annonces/locations/appartement/lille-59/wazemmes/271766243.htm,,2026-08-12,Wazemmes,T3,,0,553203.0,0,552446.0,0,554538.0,0,553972.0,0,552437.0,0,551620.0,0,555054.0,0,,0,,0,553389.0,0,552128.0,0,551912.0,0,,0,553821.0,0,554295.0,0,554391.0,0,554604.0,0,555447.0,0,551954.0,0
1279,SeLoger,450.0,10.0,45.0,Colocation,"Colocation 10 m², Étage 2/2, disponible dès maintenant",59000,Lille,50.65511885431585,3.087886830025017,https://www.seloger.com/annonces/locations/appartement/lille-59/caulier/263PXF6M5DN4.htm,,2026-08-12,Lille / Non localisé,Studio/T1,,0,556008.0,0,555239.0,0,557350.0,0,556782.0,0,555229.0,0,554407.0,0,557863.0,0,,0,,0,556195.0,0,554919.0,0,554700.0,0,,0,556635.0,0,557076.0,0,557186.0,0,557416.0,0,558243.0,0,554742.0,0
1280,SeLoger,745.0,48.0,15.52,Appartement,"2 pièce - 1 chambre - s, , 48 m², Étage 3/3",59000,Lille,50.63121616802652,3.0701892430866273,https://www.seloger.com/annonces/locations/appartement/lille-59/centre/123850073.htm,,2026-08-12,Lille-Centre,T2,,0,553732.0,0,552968.0,0,555072.0,0,554504.0,0,552958.0,0,552139.0,0,555586.0,0,,0,,0,553919.0,0,552649.0,0,552431.0,0,,0,554356.0,0,554810.0,0,554915.0,0,555137.0,0,555971.0,0,552473.0,0
1281,SeLoger,1504.0,60.0,25.07,Appartement,"2 pièce - 1 chambre - s, , 60 m²",59000,Lille,50.62424430611464,3.076505549672831,https://www.seloger.com/annonce/location/hauts-de-france/nord-59/lille-59000/26RIZ32WWV4C,,2026-08-12,Lille / Non localisé,T2,,0,552872.0,0,552107.0,0,554211.0,0,553644.0,0,552097.0,0,551277.0,0,554726.0,0,,0,,0,553059.0,0,551787.0,0,551570.0,0,,0,553496.0,0,553948.0,0,554053.0,0,554277.0,0,555110.0,0,551612.0,0
1282,SeLoger,1700.0,97.0,17.53,Appartement,"4 pièce - 3 chambre - Loft s, s, 97 m², 3 étages",59000,Lille,50.62835955651244,3.0900385651432267,https://www.seloger.com/annonce/location/hauts-de-france/nord-59/lille-59000/26SA4KTPVN1D,,2026-08-12,Lille / Non localisé,Grand (T4+),,0,553084.0,0,552316.0,0,554425.0,0,553857.0,0,552306.0,0,551485.0,0,554939.0,0,,0,,0,553271.0,0,551996.0,0,551778.0,0,,0,553710.0,0,554155.0,0,554263.0,0,554491.0,0,555320.0,0,551820.0,0
1283,SeLoger,440.0,10.0,44.0,Appartement,"1 pièce - 10 m², Étage 3/3, disponible dès maintenant",59000,Lille,50.617286503706346,3.083164137137161,https://www.seloger.com/annonces/locations/appartement/lille-59/vauban-esquermes/26AK3KJHN87N.htm,,2026-08-12,Lille / Non localisé,Studio/T1,,0,552007.0,0,551241.0,0,553347.0,0,552780.0,0,551231.0,0,550411.0,0,553861.0,0,,0,,0,552194.0,0,550922.0,0,550704.0,0,,0,552631.0,0,553082.0,0,553188.0,0,553413.0,0,554245.0,0,550746.0,0
1284,SeLoger,926.0,64.4,14.38,Appartement,"3 pièce - 2 chambre - s, s, 64,4 m², RDC/4",59000,Lille,50.63066215436886,3.022854072995773,https://www.seloger.com/annonces/locations/appartement/lille-59/bois-blanc/275467829.htm,,2026-08-12,Bois Blancs,T3,,0,554499.0,0,553744.0,0,555833.0,0,555267.0,0,553734.0,0,552918.0,0,556349.0,0,,0,,0,554685.0,0,553425.0,0,553210.0,0,,0,555115.0,0,555593.0,0,555689.0,0,555899.0,0,556744.0,0,553252.0,0
1285,SeLoger,1270.0,72.0,17.64,Appartement,"2 pièce - 1 chambre - s, , 72 m², Étage 3/3",59000,Lille,50.62659234053124,3.031467822832469,https://www.seloger.com/annonce/location/hauts-de-france/nord-59/lille-59000/26H3NQAILAV3,,2026-08-12,Lille / Non localisé,T2,,0,553909.0,0,553152.0,0,555244.0,0,554677.0,0,553143.0,0,552326.0,0,555759.0,0,,0,,0,554095.0,0,552834.0,0,552618.0,0,,0,554526.0,0,555001.0,0,555097.0,0,555310.0,0,556153.0,0,552660.0,0
1286,SeLoger,840.0,40.2,20.9,Appartement,"2 pièce - 1 chambre - s, , 40,2 m², étage",59000,Lille,50.64397258933443,3.0815475915682775,https://www.seloger.com/annonce/location/hauts-de-france/nord-59/lille-59000/26AUXCLVXULG,,2026-08-12,Lille / Non localisé,T2,,0,554913.0,0,554146.0,0,556254.0,0,555687.0,0,554136.0,0,553315.0,0,556768.0,0,,0,,0,555100.0,0,553826.0,0,553608.0,0,,0,555539.0,0,555985.0,0,556093.0,0,556320.0,0,557150.0,0,553650.0,0
