id_annonce,site,prix,surface,prix_m2,type,description,description_detail,code_postal,ville,latitude,longitude,url,image,date_dernier_scan,statut,derniere_verification_http,sur_carte,source_localisation,precision_localisation,position_fiable,quartier,type_local,dist_vice_sex-shop,nb_vice_sex-shop_500m,dist_vice_bar,nb_vice_bar_500m,dist_vice_tabac,nb_vice_tabac_500m,dist_vice_cbd_shop,nb_vice_cbd_shop_500m,dist_gentrification_épicerie_fine,nb_gentrification_épicerie_fine_500m,dist_gentrification_atelier_vélo,nb_gentrification_atelier_vélo_500m,dist_nuisance_aire_de_jeux,nb_nuisance_aire_de_jeux_500m,dist_nuisance_discothèque,nb_nuisance_discothèque_500m,dist_superstition_pompes_funèbres,nb_superstition_pompes_funèbres_500m,dist_gentrification_salle_sport,nb_gentrification_salle_sport_500m,dist_vice_kebab,nb_vice_kebab_500m,dist_gentrification_crèche,nb_gentrification_crèche_500m,dist_nuisance_école,nb_nuisance_école_500m,dist_gentrification_fleuriste,nb_gentrification_fleuriste_500m,dist_nuisance_station_service,nb_nuisance_station_service_500m,dist_vice_casino,nb_vice_casino_500m,dist_gentrification_yoga,nb_gentrification_yoga_500m,dist_gentrification_torréfacteur,nb_gentrification_torréfacteur_500m,dist_nuisance_salle_de_concert,nb_nuisance_salle_de_concert_500m,dist_superstition_cimetière,nb_superstition_cimetière_500m
11,Vizzit,1104.0,81.0,13.63,Appartement,4 pièce - 3 chambre - 81 m² - s - s,"LYON 8ème Boulevard des Etats-Unis - Situé dans une résidence sécurisée, découvrez ce ravissant T4 au 9ème étage de 81,74 m² entièrement rénové et avec vue dégagée. Calme et lumineux, il se compose d'un hall d'entrée, d'un séjour/salle à manger et d'une cuisine indépendante entièrement équipée et aménagée (plaque de cuisson, hotte et four).Côté nuit, retrouvez 3 chambres, un espace rangement, une salle d'eau et un WC séparé. Ce bien dispose également d'une cave située sur le palier et d'un stationnement libre dans la résidence. Vous serez à proximité des commodités (écoles, collèges, restaurants, commerces, supermarchés, etc..) et des transports en communs avec à 2 min à pied la ligne de bus 26 et la ligne de tramway T4 arrêt ""Etats-Unis Viviani"". Disponible le 28 septembre. Pour tout renseignement complémentaire, l'agence ESSENTIEL GESTION LOCATIVE directement par téléphone Ce loyer de 1 177 € charges comprises intègre une provision sur charges de 230 € incluant le chauffage, l'eau froide, l'eau chaude et l'entretien des parties communes. (Encadrement des loyers : Loyer de référence : 817,40 € / Loyer de référence majoré : 980,88 €). Dépôt de garantie : 947 € Honoraires d'agence : 1071 € (824 € Visites/Constitution du dossier/Rédaction de bail et 247 € Etat des lieux)",69008,Lyon,45.72698,4.869829,https://www.vizzit.fr/fr/property/appartement/lyon-8eme/Axnz7p3qgdt4b9j7,,2026-09-24,active,,True,gps,,True,Monplaisir / Bachut,Grand (T4+),3816.0,0,676.0,0,622.0,0,3497.0,0,2026.0,0,637.0,0,479.0,3,975.0,0,927.0,0,562.0,0,823.0,0,1152.0,0,304.0,5,370.0,1,1289.0,0,6559.0,0,2751.0,0,1930.0,0,5590.0,0,1650.0,0
12,Vizzit,563.0,16.0,35.19,Appartement,1 pièce - 16 m²,"A Louer, Studio MEUBLE à Lyon 8ème.  A louer, Studio Meublé au rez-de-chaussée, idéalement situé à proximité immédiate des commerces, services et transports en commun.  Rénové récemment, ce logement au rez-de-chaussée propose une agréable pièce de vie ouvrant sur un jardin clos, une cuisine ouverte équipée et meublée, un lit et une salle d'eau avec WC séparé. L'appartement dispose de nombreux rangements.  Disponible le 7 octobre 2026.  Loyer : 600,00 euros charges comprises (dont 70,00 euros de charges). Dépôt de garantie : 1 060,00 euros Honoraires : 220,42 euros (dont 50,90 euros de frais d'état des lieux)  Pour visiter ou obtenir plus d'informations, contactez-vous dès aujourd'hui .",69008,Lyon,45.72707,4.88342,https://www.vizzit.fr/fr/property/appartement/lyon-8eme/A1xr3yt9js550s92,,2026-09-24,active,,True,gps,,True,Monplaisir / Bachut,Studio/T1,4239.0,0,53.0,2,380.0,1,4134.0,0,2288.0,0,616.0,0,137.0,15,1962.0,0,932.0,0,930.0,0,246.0,1,1709.0,0,87.0,6,685.0,0,1769.0,0,6841.0,0,3548.0,0,2191.0,0,6151.0,0,2474.0,0
13,Vizzit,381.0,22.0,17.32,Studio,22 m² - Studio,"Au pied du métro Gerland, dans le programme récent ''STAR PLAYER'', studio de 22,80m² a situé au 3ème étage avec ascenseur, comprenant une belle pièce de vie avec kitchenette, une salle de douche avec wc. Proche transports, écoles et commerces. Honoraires: 229.82€ + Frais d'état des lieux: 68.85€ - Zone soumise à l'encadrement des loyers: Loyer de référence médian : 362€HC / Loyer majoré : 435€HC. La prise de rendez-vous s'effectue en ligne, merci de vous rediriger sur notre site IBT GESTION et de cliquer sur la rubrique ""prendre rendez-vous"", celle-ci se situe au niveau du descriptif de l'annonce . Il vous suffira de réserver votre créneau de visite ou de remplir le formulaire afin d'être placé sur la liste d'attente en attendant de recevoir une invitation. Le locataire (hors étudiants) et les garants doivent chacun disposer de revenus équivalents à 3x le montant du loyer. Les garants doivent être des personnes physiques. Aucun dossier ne sera étudié sans visite préalable.",69007,Lyon,45.72738,4.82572,https://www.vizzit.fr/fr/property/appartement/lyon-7eme/Aihiq0emftkx7u04,,2026-09-24,active,,True,gps,,True,Gerland,Studio/T1,4004.0,0,551.0,0,938.0,0,2863.0,0,430.0,1,668.0,0,319.0,5,483.0,1,2537.0,0,245.0,3,414.0,1,449.0,2,301.0,2,364.0,1,287.0,1,6716.0,0,1959.0,0,2851.0,0,4868.0,0,1992.0,0
14,Vizzit,716.0,43.0,16.65,Appartement,2 pièce - 1 chambre - 43 m² - s,"Nous vous proposons ce T2 de 43 m² situé au 3ème étage du 51 Rue Raclet à LYON 7ème. Il dispose d'un balcon ainsi que d'un garage simple PMR. Il se compose d'une entrée avec placard, d'une pièce de vie avec cuisine équipée (four, plaques de cuisson, hotte, rangements), d'une chambre ainsi que d'une salle de bains avec toilettes. Chauffage - Eau chaude individuel gaz. Eau froide collective Disponible de suite. Dépôt de dossier en ligne sur notre site internet Zone soumise à encadrement des loyers : - Loyer de référence majoré : 725,35 € - Loyer de référence : 634,51 € - Complément de loyer : 0 € DISPOSITIF PINEL : Plafond de ressources a respecter Loyer HC : 663 € Charges : 100 € Classe énergétique : C Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 490 € et 710 € Date de référence des prix de l'énergie pour établir cette estimation : Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques :",69007,Lyon,45.72788,4.83974,https://www.vizzit.fr/fr/property/appartement/lyon-7eme/Ag9e99nvwoypze4n,,2026-09-24,active,,True,gps,,True,Gerland,T2,3748.0,0,569.0,0,202.0,1,2869.0,0,822.0,0,817.0,0,470.0,1,1353.0,0,1827.0,0,634.0,0,613.0,0,860.0,0,162.0,2,573.0,0,170.0,2,6405.0,0,1948.0,0,2810.0,0,4807.0,0,1403.0,0
15,Vizzit,452.0,16.0,28.25,Studio,16 m² - Studio,"Nous vous proposons ce studio meublé de 17 m² situé au 2ème étage du 191 Rue Marcel Meyrieux à LYON 7ème. Il se compose d'une entrée avec cuisine équipée (plaques de cuisson, rangements, frigidaire), d'une pièce de vie lumineuse ainsi que d'une salle d'eau avec toilettes. Chauffage - Eau chaude individuel électrique Eau froide collective Disponible au . Dépôt de dossier en ligne sur notre site internet Zone soumise à encadrement des loyers : - Loyer de référence majoré : 358,07 € - Loyer de référence : 298,67 € - Complément de loyer : 108,93 € Loyer HC : 467 € Charges : 15 € Classe énergétique : E Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 398 € et 538 € Date de référence des prix de l'énergie pour établir cette estimation : Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques :",69007,Lyon,45.72788,4.83974,https://www.vizzit.fr/fr/property/appartement/lyon-7eme/Arsb6rp9jy72hbna,,2026-09-24,active,,True,gps,,True,Gerland,Studio/T1,3748.0,0,569.0,0,202.0,1,2869.0,0,822.0,0,817.0,0,470.0,1,1353.0,0,1827.0,0,634.0,0,613.0,0,860.0,0,162.0,2,573.0,0,170.0,2,6405.0,0,1948.0,0,2810.0,0,4807.0,0,1403.0,0
16,Vizzit,1131.0,61.0,18.54,Appartement,2 pièce - 1 chambre - 61 m² - s,"Nous vous proposons ce T2 de 61 m² situé au 2ème étage du 29 Rue Saint Michel à LYON 7ème. Il se compose d'une entrée, d'une spacieuse pièce de vie, d'une cuisine équipée, d'une grande chambre avec rangements ainsi que d'une salle d'eau et d'un toilette séparé. Chauffage - Eau chaude individuel électrique Eau froide individuelle Disponible de suite. Dépôt de dossier en ligne sur notre site internet Zone soumise à encadrement des loyers : - Loyer de référence majoré : 1115,68 € - Loyer de référence : 930,76 € - Complément de loyer : 54,32 € Loyer HC : 1 170 € Charges : 35 € Classe énergétique : D Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 1 390 € et 1 930 € Date de référence des prix de l'énergie pour établir cette estimation : Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : .",69007,Lyon,45.72788,4.83974,https://www.vizzit.fr/fr/property/appartement/lyon-7eme/Azh2gqnjsddu9fi6,,2026-09-24,active,,True,gps,,True,Gerland,T2,3748.0,0,569.0,0,202.0,1,2869.0,0,822.0,0,817.0,0,470.0,1,1353.0,0,1827.0,0,634.0,0,613.0,0,860.0,0,162.0,2,573.0,0,170.0,2,6405.0,0,1948.0,0,2810.0,0,4807.0,0,1403.0,0
17,Vizzit,856.0,41.0,20.88,Studio,41 m² - Studio,"T1 BIS - MEUBLE - LYON 7 Venez visiter ce grand T1 Bis meublé de 41,91 m² situé au 2 étage d'un immeuble sécurisé, au pied du tramway T2 arrêt ""Route de Vienne"", et à proximité immédiate des commerces (boulangerie, pharmacie, superette). L'appartement se compose d'une entrée avec un grand dressing, d'un vaste séjour lumineux ouvert sur une cuisine aménagée et entièrement équipée (lave-vaisselle, plaques de cuisson, hotte, four, micro-ondes). La salle d'eau est équipée d'une machine à laver et les WC sont séparés. Une chambre, séparé par une verrière, offre une vraie pièce supplémentaire (moins de 9 m²). Eau chaude et Electricité Individuel Disponible le !",69007,Lyon,45.72788,4.83974,https://www.vizzit.fr/fr/property/appartement/lyon-7eme/Anwqp2g7vyfm40gn,,2026-09-24,active,,True,gps,,True,Gerland,Studio/T1,3748.0,0,569.0,0,202.0,1,2869.0,0,822.0,0,817.0,0,470.0,1,1353.0,0,1827.0,0,634.0,0,613.0,0,860.0,0,162.0,2,573.0,0,170.0,2,6405.0,0,1948.0,0,2810.0,0,4807.0,0,1403.0,0
18,Vizzit,1629.0,106.0,15.37,Appartement,5 pièce - 4 chambre - 106 m² - s - s,"Maison individuelle dans petit lotissement, d'une superficie de 106 m2, comprenant au rez-de-chaussée: un hall, un grand séjour, une cuisine et un WC + à l'étage: 4 chambres dont une avec une salle d'eau (douche), une salle de bains et un WC. Proximité du Parc de Parilly et de commerces. Un garage et un jardin privatif de 98 m2 viennent compléter le bienChauffage individuel gaz central (chaudière neuve)Libre de suite Honoraires de 1 060,10 € TTC à la charge du locataire comprenant 318,03 € TTC pour l'état des lieux. Zone soumise à encadrement des loyers. Loyer de référence majoré (loyer de base à ne pas dépasser) 1462.80 €/mois. Loyer de base 1587.93 €/mois. Provision sur charges 23 €/mois, régularisation annuelle. Complément de loyer 125,13 €/mois. Dépôt de garantie 1 587,93 €. Classe énergie C, Classe climat C Montant estimé des dépenses annuelles d'énergie pour un usage standard: entre 1460.00 € et 2020.00 € sur les années 2021, 2022 et 2023 (abonnements compris).",69008,Lyon,45.72794,4.87924,https://www.vizzit.fr/fr/property/immobilier/lyon-8eme/A3jxhidybbnv5xom,,2026-09-24,active,,True,gps,,True,Monplaisir / Bachut,Grand (T4+),3996.0,0,349.0,1,534.0,0,3844.0,0,2137.0,0,478.0,1,195.0,14,1624.0,0,698.0,0,609.0,0,193.0,1,1407.0,0,175.0,9,577.0,0,1482.0,0,6643.0,0,3227.0,0,1964.0,0,5882.0,0,2145.0,0
19,Vizzit,849.0,45.0,18.87,Appartement,2 pièce - 1 chambre - 45 m² - s,"Honoraires de 550 € TTC à la charge du locataire comprenant 150 € TTC pour l'état des lieux. Zone soumise à encadrement des loyers. Loyer de référence majoré (loyer de base à ne pas dépasser) 820 €/mois. Loyer de base 817 €/mois. Provision sur charges 88 €/mois, régularisation annuelle. Dépôt de garantie 817 €. DPE en cours.",69008,Lyon,45.72812,4.87721,https://www.vizzit.fr/fr/property/appartement/lyon-8eme/A81lhk6pawrqdfi2,,2026-09-24,active,,True,gps,,True,Monplaisir / Bachut,T2,3907.0,0,508.0,0,669.0,0,3726.0,0,2052.0,0,460.0,1,102.0,7,1466.0,0,646.0,0,483.0,1,313.0,1,1288.0,0,107.0,6,614.0,0,1374.0,0,6577.0,0,3089.0,0,1892.0,0,5777.0,0,2002.0,0
20,Vizzit,679.0,50.0,13.58,Appartement,2 pièce - 50 m² - s,"VISITE VIRTUELLE EXCLUSIVEMENTQuartier Moulin à vent, à deux pas du Tram T6 et autres transport, dasn une résidence bien entretenue, nous vous proposons ce T2 de 50.51 m² Rénové. Situé au 3ème étage avec ascenseur, il est lumineux orienté Est et au calme sur cour intérieure sans vis à vis. Il est composé d'une entrée, une belle pièce de vie en parquet ouvrant sur un balcon, une cuisine indépendante meublée et équipée d'une hotte, un lave vaisselle et un lave linge, une chambre avec un grand placard aménagé et une salle de bain. Pour plus de confort au quotidien, les WC sont indépendants. Pour simplifier vos déplacements, le logement est loué avec une garage fermé en sous sol. Le chauffage et l'eau chaude sont individuels au gaz vous permettant d'optimiser vos dépenses énergétiques.",69008,Lyon,45.72866,4.86152,https://www.vizzit.fr/fr/property/appartement/lyon-8eme/A8iuvgqp8s6738hq,,2026-09-24,active,,True,gps,,True,Monplaisir / Bachut,T2,3493.0,0,600.0,0,342.0,1,3039.0,0,1870.0,0,960.0,0,75.0,3,354.0,1,1299.0,0,959.0,0,420.0,1,1025.0,0,267.0,4,315.0,1,1185.0,0,6274.0,0,2202.0,0,1858.0,0,5143.0,0,1141.0,0
