id_annonce,site,prix,surface,prix_m2,type,description,code_postal,ville,latitude,longitude,url,quartier,type_local,dist_vice_sex-shop,nb_vice_sex-shop_500m,dist_vice_bar,nb_vice_bar_500m,dist_vice_tabac,nb_vice_tabac_500m,dist_vice_cbd_shop,nb_vice_cbd_shop_500m,dist_gentrification_épicerie_fine,nb_gentrification_épicerie_fine_500m,dist_gentrification_atelier_vélo,nb_gentrification_atelier_vélo_500m,dist_nuisance_aire_de_jeux,nb_nuisance_aire_de_jeux_500m,dist_nuisance_discothèque,nb_nuisance_discothèque_500m,dist_superstition_pompes_funèbres,nb_superstition_pompes_funèbres_500m,dist_gentrification_salle_sport,nb_gentrification_salle_sport_500m,dist_vice_kebab,nb_vice_kebab_500m,dist_gentrification_crèche,nb_gentrification_crèche_500m,dist_nuisance_école,nb_nuisance_école_500m,dist_vice_casino,nb_vice_casino_500m,dist_gentrification_yoga,nb_gentrification_yoga_500m,dist_gentrification_fleuriste,nb_gentrification_fleuriste_500m,dist_nuisance_station_service,nb_nuisance_station_service_500m,dist_gentrification_torréfacteur,nb_gentrification_torréfacteur_500m,dist_nuisance_salle_de_concert,nb_nuisance_salle_de_concert_500m,dist_superstition_cimetière,nb_superstition_cimetière_500m
338,Vizzit,995.0,51.0,19.51,Appartement,1 pièce - 51 m²,69001,Lyon,45.76659,4.83425,https://www.vizzit.fr/fr/property/appartement/lyon-1/Akzd9mqb33753yj6,Terreaux / Hotel de Ville,Studio/T1,169.0,4,74.0,81,58.0,9,217.0,1,117.0,11,258.0,5,334.0,2,73.0,4,983.0,0,62.0,7,214.0,4,943.0,0,92.0,14,2479.0,0,62.0,2,158.0,5,1439.0,0,382.0,1,484.0,1,1688.0,0
339,Vizzit,1394.0,69.0,20.2,Appartement,2 pièce - 69 m² - s,69001,Lyon,45.76659,4.83425,https://www.vizzit.fr/fr/property/appartement/lyon-1/Aaz1wm4shxz12q90,Terreaux / Hotel de Ville,T2,169.0,4,74.0,81,58.0,9,217.0,1,117.0,11,258.0,5,334.0,2,73.0,4,983.0,0,62.0,7,214.0,4,943.0,0,92.0,14,2479.0,0,62.0,2,158.0,5,1439.0,0,382.0,1,484.0,1,1688.0,0
340,Vizzit,1380.0,98.0,14.08,Appartement,3 pièce - 98 m² - s,69001,Lyon,45.76659,4.83425,https://www.vizzit.fr/fr/property/appartement/lyon-1/A88zcmj1j1m1caei,Terreaux / Hotel de Ville,T3,169.0,4,74.0,81,58.0,9,217.0,1,117.0,11,258.0,5,334.0,2,73.0,4,983.0,0,62.0,7,214.0,4,943.0,0,92.0,14,2479.0,0,62.0,2,158.0,5,1439.0,0,382.0,1,484.0,1,1688.0,0
341,Vizzit,1002.0,71.0,14.11,Appartement,2 pièce - 71 m² - s,69001,Lyon,45.76659,4.83425,https://www.vizzit.fr/fr/property/appartement/lyon-1/Auyajy6k16lqpbsv,Terreaux / Hotel de Ville,T2,169.0,4,74.0,81,58.0,9,217.0,1,117.0,11,258.0,5,334.0,2,73.0,4,983.0,0,62.0,7,214.0,4,943.0,0,92.0,14,2479.0,0,62.0,2,158.0,5,1439.0,0,382.0,1,484.0,1,1688.0,0
342,Vizzit,635.0,22.0,28.86,Studio,22 m² - Studio,69001,Lyon,45.76675,4.83261,https://www.vizzit.fr/fr/property/appartement/lyon-1/Aroca1p77nbvtgsm,Terreaux / Hotel de Ville,Studio/T1,45.0,4,60.0,91,71.0,9,111.0,1,17.0,14,130.0,8,315.0,3,195.0,6,961.0,0,180.0,7,109.0,4,938.0,0,81.0,18,2540.0,0,180.0,2,121.0,5,1386.0,0,399.0,1,458.0,1,1575.0,0
343,Vizzit,950.0,40.0,23.75,Appartement,2 pièce - 40 m² - s,69001,Lyon,45.76677,4.83477,https://www.vizzit.fr/fr/property/appartement/lyon-1/Ar90a2qje59c9x33,Terreaux / Hotel de Ville,T2,205.0,4,30.0,75,59.0,8,244.0,1,158.0,9,260.0,5,320.0,4,28.0,5,1017.0,0,18.0,7,242.0,3,922.0,0,128.0,11,2439.0,0,18.0,2,136.0,5,1433.0,0,411.0,1,474.0,1,1733.0,0
344,Vizzit,1750.0,62.0,28.23,Appartement,3 pièce - 62 m² - s,69006,Lyon,45.76716,4.85593,https://www.vizzit.fr/fr/property/appartement/lyon-6/Ape7920clxr229x0,Brotteaux / Foch,T3,822.0,0,87.0,16,174.0,3,77.0,3,339.0,7,479.0,1,144.0,6,307.0,2,318.0,1,70.0,8,164.0,5,1193.0,0,69.0,17,1972.0,0,285.0,1,123.0,2,1432.0,0,332.0,2,1631.0,0,2752.0,0
345,Vizzit,1750.0,60.0,29.17,Appartement,2 pièce - 60 m² - s,69006,Lyon,45.76717,4.85476,https://www.vizzit.fr/fr/property/appartement/lyon-6/Aqgeo515f4egfw73,Brotteaux / Foch,T2,824.0,0,24.0,20,181.0,3,146.0,3,292.0,8,562.0,0,183.0,6,395.0,2,341.0,1,89.0,8,176.0,5,1171.0,0,78.0,18,1962.0,0,255.0,1,140.0,3,1421.0,0,280.0,2,1543.0,0,2752.0,0
346,Vizzit,795.0,26.0,30.58,Studio,26 m² - Studio,69001,Lyon,45.76721,4.83167,https://www.vizzit.fr/fr/property/appartement/lyon-1/Abg5l3j3gk1uss1o,Terreaux / Hotel de Ville,Studio/T1,44.0,3,72.0,88,157.0,9,44.0,1,105.0,10,58.0,9,312.0,3,259.0,6,997.0,0,224.0,7,46.0,4,904.0,0,76.0,19,2546.0,0,224.0,2,48.0,5,1311.0,0,464.0,1,420.0,1,1527.0,0
347,Vizzit,1142.0,54.0,21.15,Appartement,3 pièce - 54 m² - s,69006,Lyon,45.76722,4.84746,https://www.vizzit.fr/fr/property/appartement/lyon-6/Afbb7xrnk8wcqy06,Brotteaux / Foch,T3,1030.0,0,203.0,15,179.0,2,196.0,3,190.0,15,10.0,8,214.0,11,897.0,0,763.0,0,296.0,9,294.0,2,1193.0,0,83.0,22,1993.0,0,296.0,3,193.0,7,1478.0,0,145.0,3,1014.0,0,2692.0,0
348,Vizzit,390.0,11.0,35.45,Appartement,1 pièce - 11 m²,69006,Lyon,45.76787,4.85736,https://www.vizzit.fr/fr/property/appartement/lyon-6/Abducoznd8vpyixv,Brotteaux / Foch,Studio/T1,913.0,0,46.0,13,221.0,3,72.0,2,289.0,5,359.0,1,83.0,5,184.0,2,247.0,1,74.0,7,277.0,2,1303.0,0,202.0,16,1911.0,0,412.0,1,240.0,3,1531.0,0,370.0,1,1718.0,0,2836.0,0
349,Vizzit,900.0,29.0,31.03,Appartement,1 pièce - 29 m²,69006,Lyon,45.76789,4.85695,https://www.vizzit.fr/fr/property/appartement/lyon-6/A9per9o4h5pr3jst,Brotteaux / Foch,Studio/T1,911.0,0,61.0,15,214.0,4,42.0,2,302.0,6,391.0,1,102.0,5,215.0,2,237.0,1,46.0,7,265.0,2,1295.0,0,181.0,16,1903.0,0,396.0,1,226.0,3,1527.0,0,341.0,1,1687.0,0,2837.0,0
350,Vizzit,1430.0,66.0,21.67,Appartement,3 pièce - 66 m² - s,69001,Lyon,45.7679,4.82931,https://www.vizzit.fr/fr/property/appartement/lyon-1/A42424dpsiht761d,Terreaux / Hotel de Ville,T3,242.0,3,47.0,69,117.0,7,200.0,1,172.0,6,79.0,9,203.0,5,226.0,5,1061.0,0,233.0,4,69.0,4,898.0,0,56.0,21,2612.0,0,262.0,3,189.0,2,1141.0,0,610.0,0,439.0,1,1399.0,0
351,Vizzit,947.0,40.0,23.68,Appartement,2 pièce - 40 m² - s,69001,Lyon,45.76791,4.83625,https://www.vizzit.fr/fr/property/appartement/lyon-1/A0mkzfdasie9zeqs,Terreaux / Hotel de Ville,T2,327.0,3,65.0,65,110.0,7,344.0,1,307.0,5,159.0,2,264.0,13,133.0,6,1180.0,0,57.0,6,340.0,3,805.0,0,100.0,15,2269.0,0,153.0,2,188.0,7,1363.0,0,569.0,0,376.0,2,1885.0,0
352,Vizzit,650.0,28.0,23.21,Studio,28 m² - Studio,69001,Lyon,45.76791,4.83625,https://www.vizzit.fr/fr/property/appartement/lyon-1/A8gce0bpmbyo3d1y,Terreaux / Hotel de Ville,Studio/T1,327.0,3,65.0,65,110.0,7,344.0,1,307.0,5,159.0,2,264.0,13,133.0,6,1180.0,0,57.0,6,340.0,3,805.0,0,100.0,15,2269.0,0,153.0,2,188.0,7,1363.0,0,569.0,0,376.0,2,1885.0,0
353,Vizzit,390.0,15.0,26.0,Studio,15 m² - Studio,69006,Lyon,45.76791,4.85107,https://www.vizzit.fr/fr/property/appartement/lyon-6/Aofncf4uyyd1dsk0,Brotteaux / Foch,Studio/T1,964.0,0,83.0,15,44.0,4,416.0,3,151.0,11,289.0,2,150.0,6,671.0,0,478.0,1,128.0,7,180.0,3,1227.0,0,93.0,24,1878.0,0,360.0,2,262.0,4,1501.0,0,151.0,3,1246.0,0,2850.0,0
354,Vizzit,690.0,18.0,38.33,Studio,18 m² - Studio,69001,Lyon,45.76794,4.83183,https://www.vizzit.fr/fr/property/appartement/lyon-1/A68zcpc354v9pf1m,Terreaux / Hotel de Ville,Studio/T1,109.0,3,83.0,85,171.0,8,39.0,1,51.0,8,122.0,8,239.0,5,181.0,7,1079.0,0,141.0,7,39.0,4,822.0,0,53.0,19,2477.0,0,141.0,2,34.0,5,1243.0,0,540.0,0,338.0,2,1573.0,0
