id_annonce,site,prix,surface,prix_m2,type,description,code_postal,ville,latitude,longitude,url,image,date_dernier_scan,quartier,type_local,dist_vice_sex-shop,nb_vice_sex-shop_500m,dist_vice_bar,nb_vice_bar_500m,dist_vice_tabac,nb_vice_tabac_500m,dist_vice_cbd_shop,nb_vice_cbd_shop_500m,dist_gentrification_épicerie_fine,nb_gentrification_épicerie_fine_500m,dist_gentrification_atelier_vélo,nb_gentrification_atelier_vélo_500m,dist_nuisance_aire_de_jeux,nb_nuisance_aire_de_jeux_500m,dist_nuisance_discothèque,nb_nuisance_discothèque_500m,dist_superstition_pompes_funèbres,nb_superstition_pompes_funèbres_500m,dist_gentrification_salle_sport,nb_gentrification_salle_sport_500m,dist_vice_kebab,nb_vice_kebab_500m,dist_gentrification_crèche,nb_gentrification_crèche_500m,dist_nuisance_école,nb_nuisance_école_500m,dist_gentrification_fleuriste,nb_gentrification_fleuriste_500m,dist_nuisance_station_service,nb_nuisance_station_service_500m,dist_vice_casino,nb_vice_casino_500m,dist_gentrification_yoga,nb_gentrification_yoga_500m,dist_gentrification_torréfacteur,nb_gentrification_torréfacteur_500m,dist_nuisance_salle_de_concert,nb_nuisance_salle_de_concert_500m,dist_superstition_cimetière,nb_superstition_cimetière_500m
536,Orpi,994.0,40.0,24.85,Studio,1 pièce - EXCLUSIVITÉ par mois LOCATION 40 m2 3 - Villette Message Studio Bal con Bon état Meublé Ascenseur Etage : 3 Favoris,69003,Lyon,45.75735963847554,4.8722595415438255,https://www.orpi.com/annonce-location-appartement-t1-lyon-3-69003-0c919280-bd31-4fc6-924e-1b6682a898ee/,,,Part-Dieu / Villette,Studio/T1,1339.0,0,295.0,3,558.0,0,1662.0,0,1049.0,0,370.0,1,258.0,4,1400.0,0,1568.0,0,691.0,0,491.0,1,1609.0,0,154.0,10,418.0,2,1196.0,0,3401.0,0,1636.0,0,1307.0,0,3227.0,0,2138.0,0
537,Orpi,1283.0,68.0,18.87,Appartement,3 pièce - EXCLUSIVITÉ par mois LOCATION s 68 m2 3 - Férrandière Message 2 cham bres Balcon Cave Bon état Non meublé Etage : 4 Favoris,69003,Lyon,45.76330401741095,4.851621750369254,https://www.orpi.com/annonce-location-appartement-t3-lyon-3-69003-b9553abc-f4d8-4a65-a49c-e9c5b8bf8d0a/,,,Part-Dieu / Villette,T3,488.0,1,34.0,7,392.0,2,93.0,2,453.0,1,511.0,0,164.0,6,721.0,0,834.0,0,195.0,10,51.0,4,715.0,0,116.0,18,19.0,6,987.0,0,2387.0,0,195.0,2,316.0,3,1517.0,0,2336.0,0
538,Orpi,502.0,10.0,50.2,Appartement,1 pièce - 1 chambre - EXCLUSIVITÉ par mois LOCATION 10 m2 7 - Debourg Message B alcon À rafraîchir Non meublé Ascenseur Rez - de - chaussée Favoris,69007,Lyon,45.73399704503797,4.846390529371068,https://www.orpi.com/annonce-location-appartement-t1-lyon-7-69007-d4405a0f-252a-4cdd-9a66-33ce7673ee3c/,,,Gerland,Studio/T1,2950.0,0,434.0,1,612.0,0,2215.0,0,1369.0,0,371.0,1,359.0,4,782.0,0,975.0,0,462.0,1,672.0,0,1231.0,0,480.0,2,557.0,0,559.0,0,5666.0,0,1237.0,0,1971.0,0,4226.0,0,723.0,0
539,Orpi,1231.0,63.0,19.54,Appartement,3 pièce - EXCLUSIVITÉ par mois LOCATION s 63 m2 3 - Férrandière Message 2 cham bres Balcon Bon état Meublé Ascenseur Etage : 1 Favoris,69003,Lyon,45.75216397135817,4.893591147733618,https://www.orpi.com/annonce-location-appartement-t3-lyon-3-69003-d2fe21f0-1d39-4ca9-934d-87e574706446/,,,Montchat,T3,3085.0,0,187.0,1,712.0,0,3362.0,0,626.0,0,185.0,2,215.0,4,3068.0,0,1063.0,0,189.0,2,1686.0,0,2670.0,0,411.0,4,241.0,2,2134.0,0,4812.0,0,3372.0,0,2040.0,0,4964.0,0,3190.0,0
540,Orpi,1313.0,61.0,21.52,Appartement,3 pièce - 2 chambre - EXCLUSIVITÉ par mois LOCATION s 61 m2 2 - Perrache Message s Balcon Bon état Meublé Ascenseur Etage : 1 Favoris,69002,Lyon,45.74183175772749,4.820283618571501,https://www.orpi.com/annonce-location-appartement-t3-lyon-2-69002-9ff65489-3174-4a45-905a-d696605408e2/,,,Confluence,T3,2571.0,0,85.0,5,101.0,1,1469.0,0,165.0,2,117.0,1,104.0,7,575.0,0,1414.0,0,220.0,4,324.0,1,1213.0,0,228.0,6,516.0,0,592.0,0,5397.0,0,938.0,0,1453.0,0,3377.0,0,1821.0,0
541,Orpi,1590.0,98.0,16.22,Appartement,3 pièce - EXCLUSIVITÉ par mois LOCATION s 98 m2 5 - Saint - Paul Message 2 chamb res Terrasse Parfait état Meublé Etage : 3 Favoris,69005,Lyon,45.75251696083266,4.806501895524172,https://www.orpi.com/annonce-location-appartement-t3-lyon-5-69005-546d3d78-2ce1-4994-9eb0-a35d9d46f245/,,,Point du Jour / St Just,T3,2414.0,0,887.0,0,353.0,1,1771.0,0,1529.0,0,535.0,0,295.0,1,1005.0,0,1070.0,0,289.0,1,803.0,0,877.0,0,83.0,6,780.0,0,1129.0,0,5072.0,0,1648.0,0,1829.0,0,2899.0,0,1154.0,0
542,Orpi,957.0,44.0,21.75,Appartement,2 pièce - EXCLUSIVITÉ par mois LOCATION s 44 m2 5 - Fourvière Message 1 chambr e Bon état Non meublé Ascenseur Etage : 2 Favoris,69005,Lyon,45.766175333493884,4.807744160548572,https://www.orpi.com/annonce-location-appartement-t2-lyon-5-69005-2af6d0d5-01ca-46cf-90c6-d2cb030d59ec/,,,Point du Jour / St Just,T2,1885.0,0,241.0,1,710.0,0,897.0,0,949.0,0,900.0,0,191.0,3,608.0,0,632.0,0,311.0,1,966.0,0,1054.0,0,379.0,4,651.0,0,570.0,0,4057.0,0,784.0,0,917.0,0,2032.0,0,503.0,0
543,Orpi,741.0,39.0,19.0,Appartement,2 pièce - 1 chambre - EXCLUSIVITÉ VISITE VIRTUELLE par mois LOCATION s 39 m2 6 - Foch Mess age Bon état Non meublé Rez - de - chaussée Favoris,69006,Lyon,45.76774874955626,4.851489203462315,https://www.orpi.com/annonce-location-appartement-t2-lyon-6-69006-92c523e5-47d8-49a0-8b67-52e92a4407ba/,,,Brotteaux / Foch,T2,936.0,0,110.0,16,72.0,4,385.0,3,168.0,11,316.0,3,129.0,6,639.0,0,460.0,1,108.0,7,177.0,3,1209.0,0,95.0,23,257.0,2,1481.0,0,1894.0,0,377.0,2,182.0,3,1282.0,0,2829.0,0
544,Orpi,605.0,22.0,27.5,Studio,1 pièce - EXCLUSIVITÉ par mois LOCATION 22 m2 3 - Montchat Message Studio Bon état Non meublé Etage : 2 Favoris,69003,Lyon,45.75604397657944,4.84557694084683,https://www.orpi.com/annonce-location-appartement-t1-lyon-3-69003-8a85c3fc-8f66-4e97-b94d-dc983efb95a9/,,,Préfecture / Quais,Studio/T1,865.0,0,128.0,29,184.0,4,248.0,1,206.0,3,69.0,9,115.0,14,874.0,0,196.0,3,169.0,4,53.0,8,471.0,1,138.0,11,256.0,2,590.0,0,3241.0,0,251.0,1,941.0,0,1857.0,0,1680.0,0
545,Orpi,609.0,21.0,29.0,Studio,1 pièce - EXCLUSIVITÉ par mois LOCATION 21 m2 7 - Debourg Message Studio Bon état Meublé Rez - de - chaussée Favoris,69007,Lyon,45.73347066077159,4.822692809087774,https://www.orpi.com/annonce-location-appartement-t1-lyon-7-69007-2424-028948-052/,,,Gerland,Studio/T1,3389.0,0,571.0,0,979.0,0,2247.0,0,657.0,0,576.0,0,112.0,5,244.0,1,2000.0,0,383.0,1,311.0,1,592.0,0,116.0,5,617.0,0,375.0,2,6162.0,0,1413.0,0,2233.0,0,4235.0,0,1790.0,0
