Lieu,Prix,Details,Description_A_Propos,Lien,Addr_Regex,Addr_NLP,Adresse_Finale
Lyon 8ème (69008),909 €,45 m² - 2 pièces,"Situé dans un immeuble sécurisé, ce T2 meublé de 45,41 m² vous offre un cadre de vie confortable et fonctionnel, au coeur du 8e arrondissement de Lyon.L'appartement se compose d'une cuisine indépendante entièrement équipée, un salon / salle à manger lumineux ouv... Voir plus sur seloger.com",https://www.vizzit.fr/fr/property/appartement/lyon-8/Ads3cnfbaj5rin09,,8e arrondissement de,8e arrondissement de
Lyon 3ème (69003),737 €,36 m² - 1 pièce,"Appartement de type 1 d'une surface de 36,68 m², situé 11 rue Domremy 69003 Lyon. Il se compose d'une entrée, d'une pièce de vie, d'une cuisine ouverte, ainsi que d'une salle de bains avec Wc. Un garage en sous-sol est inclus. L'appartement est situé en rez-de-chaussée. Chau... Voir plus sur seloger.com",https://www.vizzit.fr/fr/property/appartement/lyon-3/A9guznycv31k37qd,11 rue Domremy,11 rue Domremy 69003 Lyon,11 rue Domremy
Lyon 8ème (69008),678 €,32 m² - 1 pièce,"Au 4 place Marc Sangnier - Résidence Esplanade - 69008 Lyon Appartement T1 de 32.60 m² situé au 1er étage avec ascenseur composé d'une pièce de vie de 27 m² donnant sur un grand balcon, avec coin cuisine meublée et placard, une salle de bains. Chauffage et e... Voir plus sur seloger.com",https://www.vizzit.fr/fr/property/appartement/lyon-8/Aslarj0mkjkhzelp,4 place Marc Sangnier,4 place Marc Sangnier - Résidence Esplanade - 69008 Lyon Appartement T1 de 32,4 place Marc Sangnier
Lyon 2ème (69002),1 880 €,94 m² - 3 pièces,"Rue Jarente Résidence située au cœur du 2 € arrondissement de Lyon, l'appartement bénéficie d'un emplacement privilégié, à deux pas de la Presqu'île, des commerces, restaurants et transports en commun. À 2 minutes à pied du métro A, arrêt ""Ampère - Victor Hugo"". Appartement T3 de 94 m² au 1er étage avec ascenseur, entièrement rénové et doté de fenêtres en double vitrage. Il se compose d'une grande entrée avec rangements, d'une agréable pièce de vie ouverte sur une cuisine moderne entièrement équipée (évier, plaque de cuisson, hotte, four, micro-onde, lave-vaisselle, machine à laver, meubles de rangement et plan de travail), ainsi que de deux chambres avec rangements dont une avec un espace dressing. Vous disposerez également d'une salle d'eau avec meuble double vasque, miroir ainsi qu'une douche à l'italienne et Wc séparés. Le chauffage est individuel électrique. L'appartement est équipé de la fibre optique. Une cave et un grenier complètent ce bien. Justificatif du complément de loyer : - Grande hauteur sous plafond. - Logement entièrement rénové. - Équipement de standing élevé avec une cuisine sur-mesure équipée premium. - Transports à proximité. Valority Adb. Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques :",https://www.vizzit.fr/fr/property/appartement/lyon-2/Am8f60fs2qwp73su,Rue Jarente Résidence située,Rue Jarente,Rue Jarente Résidence située
Lyon 7ème (69007),537 €,23 m² - Studio,"Studio proche des Facultés Lyon 7ème - Oralia vous propose la location au 78 rue de Marseille Lyon 7eme, un studio proximité de l'université Lyon 2, proche de toutes commodités (transports Tram et commerces Lidl côté). Appartement comprenant un séjour avec kitchenette équipée meublée (plaque et petit réfrigérateur), Wc indépendant, une mezzanine avec coin et une salle de bains. L'appartement est situé au 5e étage avec ascenseur. Le chauffage, l'eau chaude et froide sont inclus dans les charges. Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : Important ! Pour vous permettre de visiter le bien il convient de déposer votre dossier au préalable sur lien directement sur l'annonce. Loyer de 537,00 euros par mois charges comprises dont 85,00 euros par mois de provision pour charges (soumis la régularisation annuelle). Les honoraires charge locataire sont de 300,95 euros ( soit 13,00 euros/m² ) dont 70,14 euros pour état des lieux ( soit 3,03 euros/m² ). Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 250 et 380 euros. Prix moyens des énergies indexés en 2021. Zone soumise encadrement des loyers. Le loyer de base du bien proposé est de 452 euros, le loyer de référence majoré (fixé par arrêté préfectoral) est de 497,725 euros",https://www.vizzit.fr/fr/property/appartement/lyon-7/Avn2zl8im39baf95,78 rue de Marseille,78 rue de Marseille Lyon 7eme,78 rue de Marseille
Lyon 7ème (69007),1 110 €,50 m² - 2 pièces,"T2 Meublé - Balcon, Parking – Lyon 7e Quartier Prisé– Disponible Immédiatement ! ?? Idéalement situé place Saint-Louis, à seulement 7 minutes à pied des métros Saxe-Gambetta et Jean Macé, cet appartement 2 pièces de 50 m² offre un cadre de vie confortable, ca... Voir plus sur seloger.com",https://www.vizzit.fr/fr/property/appartement/lyon-7/Aiz77mt9n0og1trz,place Saint-Louis,,place Saint-Louis
Lyon 1er (69001),532 €,24 m² - Studio,"La régie Horvath & Associés vous propose à la location ce studio, disponible immédiatement, situé rue de la Platière, dans une rue calme, en plein cœur de Lyon, à proximité des transports et des commerces. Ce bien, plein de charme grâce à ses poutres apparentes, ... Voir plus sur seloger.com",https://www.vizzit.fr/fr/property/appartement/lyon-1/Agtw4vyql7jwhjvx,rue de la Platière,rue de la Platière,rue de la Platière
Lyon 4ème (69004),846 €,39 m² - 1 pièce,"Ref. : 2Pelletier - T2 Disponible de suite Situé au 2e étage d'un immeuble en copropriété (sans ascenseur), ce bel appartement T2 meublé de 42,85 m² (39.75 m² en surface Carrez) saura vous séduire par son agencement fonctionnel et son atmosphère chaleureuse. ... Voir plus sur seloger.com",https://www.vizzit.fr/fr/property/appartement/lyon-4/Aj36yc3h5u0agqwo,,,
Lyon 4ème (69004),969 €,57 m² - 3 pièces,"Charmant appartement de type T3 de 57,86m² meublé avec élégance, idéalement situé au cœur de la Croix Rousse, rue Villeneuve, à proximité du marché animé et des transports en commun. Cet appartement offre de magnifiques hauteurs sous plafond agrémentées de poutres apparentes. Il se compose d'une cuisine entièrement équipée (incluant réfrigérateur, four, plaques de cuisson, hotte et lave-linge), de deux chambres avec espace bureau, d'un salon lumineux, d'une salle d'eau et d'un Wc séparé. Le chauffage et l'eau sont individuels et fonctionnent au gaz. Dpe (Diagnostic de Performance Énergétique) : Dpe C - Ges C Ce logement est éligible au dépôt de garantie simplifié avec DepoZen. Explorez ce bien en détail grâce à notre visite virtuelle immersive. Zone soumise à encadrement des loyers : Oui Loyer de base : 862.11€ Loyer de référence majoré (loyer de base à ne pas dépasser) : 1035.69€ ""Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : Loyer de 969,00 euros par mois charges comprises dont 30,00 euros par mois de provision pour charges (soumis à la régularisation annuelle). Les honoraires charge locataire sont de 759,12 euros ( soit 13,12 euros/m² ) dont 175,32 euros pour état des lieux ( soit 3,03 euros/m² ). Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 730 et 1 030 euros. Prix moyens des énergies indexés en 2021.",https://www.vizzit.fr/fr/property/appartement/lyon-4/Ay29m81sh9np34yj,rue Villeneuve,rue Villeneuve,rue Villeneuve
Lyon 7ème (69007),583 €,33 m² - 2 pièces,"A louer en disponibilité immédiate, à proximité de Bellecour, au coeur de la Guillotière avec tram et métro tout proche,, charmant F2 refait à neuf, 33m², en dernier étage Sans ascenseur, composé d'une entrée, pièce à vivre avec coin cuisine équipée avec frigo plaques et hotte, une chambre avec nombreux rangements, salle de douche à l'italienne, Wc indépendants. Tout électrioque et double vitrage,, cumulus neuf . Zone Soumise A Encadrement Des Loyers : Prix réf : 13.80 €/m². Prix majoré : 16.60 €/m² Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site géorisques :",https://www.vizzit.fr/fr/property/appartement/lyon-7/Afabfccullmcbsjr,,,
