id_annonce,site,prix,surface,prix_m2,type,description,description_raw,description_detail,code_postal,ville,latitude,longitude,url,image,date_dernier_scan,statut,derniere_verification_http,sur_carte,quartier,type_local,dist_vice_sex-shop,nb_vice_sex-shop_500m,dist_vice_bar,nb_vice_bar_500m,dist_vice_tabac,nb_vice_tabac_500m,dist_vice_cbd_shop,nb_vice_cbd_shop_500m,dist_gentrification_épicerie_fine,nb_gentrification_épicerie_fine_500m,dist_gentrification_atelier_vélo,nb_gentrification_atelier_vélo_500m,dist_nuisance_aire_de_jeux,nb_nuisance_aire_de_jeux_500m,dist_nuisance_discothèque,nb_nuisance_discothèque_500m,dist_superstition_pompes_funèbres,nb_superstition_pompes_funèbres_500m,dist_gentrification_salle_sport,nb_gentrification_salle_sport_500m,dist_vice_kebab,nb_vice_kebab_500m,dist_gentrification_crèche,nb_gentrification_crèche_500m,dist_nuisance_école,nb_nuisance_école_500m,dist_gentrification_fleuriste,nb_gentrification_fleuriste_500m,dist_nuisance_station_service,nb_nuisance_station_service_500m,dist_vice_casino,nb_vice_casino_500m,dist_gentrification_yoga,nb_gentrification_yoga_500m,dist_gentrification_torréfacteur,nb_gentrification_torréfacteur_500m,dist_nuisance_salle_de_concert,nb_nuisance_salle_de_concert_500m,dist_superstition_cimetière,nb_superstition_cimetière_500m,source_localisation,position_fiable,precision_localisation,archive_le
1523,SeLoger,790.0,50.0,15.8,Appartement,"2 pièce - 1 chambre - s, , 50 m², Étage 1/3",,,59000,Lille,50.63099440403143,3.101284437319252,https://www.seloger.com/annonces/locations/appartement/lille-59/caulier/273837709.htm,,2026-08-12,a_verifier,,False,Fives,T2,,0.0,209.0,3.0,415.0,1.0,908.0,0.0,2702.0,0.0,786.0,0.0,61.0,5.0,1903.0,0.0,307.0,1.0,1353.0,0.0,245.0,2.0,671.0,0.0,255.0,6.0,467.0,1.0,165.0,4.0,1773.0,0.0,2995.0,0.0,1045.0,0.0,2038.0,0.0,1349.0,0.0,gps,,,2026-09-25
1524,SeLoger,850.0,51.0,16.67,Appartement,"3 pièce - 1 chambre - s, , 51 m², disponible dès maintenant",,,59000,Lille,50.64293412231333,3.0425336313820623,https://www.seloger.com/annonces/locations/appartement/lille-59/faubourg-de-bethune-concorde/26PNWSX4IPZJ.htm,,2026-08-12,a_verifier,,False,Vauban-Esquermes,T3,,0.0,571.0,0.0,1473.0,0.0,1322.0,0.0,1017.0,0.0,1155.0,0.0,387.0,2.0,1382.0,0.0,1414.0,0.0,1359.0,0.0,1185.0,0.0,1319.0,0.0,791.0,0.0,888.0,0.0,1560.0,0.0,2580.0,0.0,1359.0,0.0,1421.0,0.0,2313.0,0.0,2471.0,0.0,gps,,,2026-09-25
1525,SeLoger,1250.0,63.1,19.81,Appartement,"2 pièce - 1 chambre - s, , 63,1 m², étage",,,59000,Lille,50.63872652242804,3.066548516510734,https://www.seloger.com/annonces/locations/appartement/lille-59/centre/273839767.htm,,2026-08-12,a_verifier,,False,Lille-Centre,T2,,0.0,79.0,57.0,714.0,0.0,682.0,0.0,217.0,11.0,68.0,2.0,149.0,3.0,91.0,1.0,1099.0,0.0,399.0,3.0,66.0,9.0,1405.0,0.0,113.0,6.0,166.0,4.0,769.0,0.0,824.0,0.0,399.0,1.0,121.0,7.0,559.0,0.0,1076.0,0.0,gps,,,2026-09-25
1526,SeLoger,765.0,15.0,51.0,Colocation,"1 pièce - 1 chambre - Colocation , , 15 m², étage",,,59000,Lille,50.62797366977849,3.088712951653698,https://www.seloger.com/annonce/location/hauts-de-france/nord-59/lille-59000/2639YSWY947V,,2026-08-12,a_verifier,,False,Fives,Studio/T1,,0.0,228.0,3.0,600.0,0.0,1622.0,0.0,1924.0,0.0,849.0,0.0,271.0,4.0,976.0,0.0,654.0,0.0,850.0,0.0,545.0,0.0,1446.0,0.0,70.0,8.0,585.0,0.0,591.0,0.0,1218.0,0.0,2151.0,0.0,1558.0,0.0,1437.0,0.0,1837.0,0.0,gps,,,2026-09-25
1527,SeLoger,880.0,43.0,20.47,Appartement,"2 pièce - 1 chambre - s, , 43 m², Étage 3/3",,,59000,Lille,50.64288222263239,3.0871257966588166,https://www.seloger.com/annonce/location/hauts-de-france/nord-59/lille-59000/26TUHLYQLR16,,2026-08-12,a_verifier,,False,Saint-Maurice Pellevoisin,T2,,0.0,75.0,1.0,1416.0,0.0,2053.0,0.0,1523.0,0.0,99.0,1.0,124.0,8.0,1540.0,0.0,283.0,1.0,954.0,0.0,104.0,1.0,2211.0,0.0,213.0,8.0,68.0,2.0,1263.0,0.0,987.0,0.0,1856.0,0.0,1367.0,0.0,1149.0,0.0,520.0,0.0,gps,,,2026-09-25
1528,SeLoger,806.0,46.3,17.41,Appartement,"2 pièce - 1 chambre - s, , 46,3 m², Étage 5/5",,,59000,Lille,50.61258901566387,3.0660641187602424,https://www.seloger.com/annonces/locations/appartement/lille-59/moulins/275404311.htm,,2026-08-12,a_verifier,,False,Lille-Moulins,T2,,0.0,831.0,0.0,714.0,0.0,2035.0,0.0,1758.0,0.0,718.0,0.0,189.0,7.0,1208.0,0.0,290.0,1.0,941.0,0.0,737.0,0.0,786.0,0.0,353.0,4.0,1353.0,0.0,1241.0,0.0,2767.0,0.0,2073.0,0.0,1043.0,0.0,1296.0,0.0,1022.0,0.0,gps,,,2026-09-25
1529,SeLoger,700.0,37.0,18.92,Appartement,"1 pièce - 37 m², 3 étages",,,59000,Lille,50.64536720847093,3.0486955843081653,https://www.seloger.com/annonce/location/hauts-de-france/nord-59/lille-59000/26YVBN16P1T5,,2026-08-12,a_verifier,,False,Vieux-Lille,Studio/T1,,0.0,204.0,4.0,1689.0,0.0,1462.0,0.0,685.0,0.0,960.0,0.0,89.0,2.0,1044.0,0.0,1520.0,0.0,1070.0,0.0,805.0,0.0,1663.0,0.0,486.0,2.0,678.0,0.0,1980.0,0.0,2272.0,0.0,1070.0,0.0,1193.0,0.0,2014.0,0.0,2205.0,0.0,gps,,,2026-09-25
1530,SeLoger,1400.0,81.9,17.09,Appartement,"4 pièce - 3 chambre - s, s, 81,9 m², Étage 1/2",,,59000,Lille,50.631055752401714,3.0180137067247985,https://www.seloger.com/annonces/locations/appartement/lille-59/276193559.htm,,2026-08-12,a_verifier,,False,Bois Blancs,Grand (T4+),,0.0,352.0,1.0,304.0,1.0,781.0,0.0,1027.0,0.0,234.0,1.0,23.0,2.0,2605.0,0.0,808.0,0.0,386.0,1.0,803.0,0.0,857.0,0.0,319.0,2.0,1534.0,0.0,238.0,1.0,4245.0,0.0,2763.0,0.0,1009.0,0.0,3395.0,0.0,1224.0,0.0,gps,,,2026-09-25
1531,SeLoger,900.0,52.0,17.31,Colocation,"2 pièce - 1 chambre - Colocation s, , 52 m², étage",,,59000,Lille,50.63872969446713,3.056457341618394,https://www.seloger.com/annonce/location/hauts-de-france/nord-59/lille-59000/26G5Y73545PA,,2026-08-12,a_verifier,,False,Vieux-Lille,T2,,0.0,65.0,65.0,771.0,0.0,740.0,0.0,77.0,13.0,78.0,1.0,233.0,3.0,592.0,0.0,730.0,0.0,362.0,2.0,146.0,3.0,981.0,0.0,114.0,8.0,149.0,5.0,1217.0,0.0,1515.0,0.0,362.0,1.0,343.0,2.0,1248.0,0.0,1731.0,0.0,gps,,,2026-09-25
1532,SeLoger,585.0,11.0,53.18,Appartement,"1 pièce - 11 m², Étage 3/3, disponible dès maintenant",,,59000,Lille,50.65379323934503,3.088514788666975,https://www.seloger.com/annonces/locations/appartement/lille-59/moulins/26C758W217AF.htm,,2026-08-12,a_verifier,,False,Saint-Maurice Pellevoisin,Studio/T1,,0.0,637.0,0.0,2550.0,0.0,2941.0,0.0,2169.0,0.0,1291.0,0.0,569.0,0.0,2144.0,0.0,1500.0,0.0,2157.0,0.0,1320.0,0.0,2951.0,0.0,335.0,5.0,1282.0,0.0,2293.0,0.0,2084.0,0.0,2466.0,0.0,2294.0,0.0,2148.0,0.0,1298.0,0.0,gps,,,2026-09-25
