categorie_cavalier,type_osm,nom_lieu,latitude,longitude
Vice - Bar,bar,Java,50.6229567,3.0643228
Vice - Bar,bar,Maloot Bar,50.6388441,3.058549
Vice - Bar,bar,Le Bel Ouvrage,50.6270527,3.060805
Vice - Bar,bar,L'ambassade,50.6310296,3.054904
Vice - Bar,bar,Highton,50.6318895,3.022823
Vice - Bar,bar,Cagnard,50.6368089,3.0602802
Vice - Bar,bar,R by Royale,50.6395248,3.0584024
Vice - Bar,bar,Le Vintage,50.6393707,3.0585252
Vice - Bar,bar,Le Chopp'ing,50.6394005,3.0584927
Vice - Bar,bar,Le Globe Trotter,50.6437683,3.0586012
Vice - Bar,bar,Au Dieu de Marcq,50.6482791,3.0860512
Vice - Bar,bar,La Masse,50.6364044,3.0859633
Vice - Bar,bar,A la Sarthe,50.6407396,3.0676103
Vice - Bar,bar,Le Circus,50.6291794,3.0554835
Vice - Bar,bar,Central Hôtel & Hostel Lille,50.6347837,3.0550956
Vice - Bar,bar,La Planque,50.6407558,3.0600425
Vice - Bar,bar,Sista,50.6262015,3.0560232
Vice - Bar,bar,Omega x Hyde,50.6327199,3.0551702
Vice - Bar,bar,La Terrasse - Restaurant & Pizzéria Lille,50.6299672,3.0987975
Vice - Bar,bar,L'Imprévu,50.6257259,3.1043964
Vice - Bar,bar,Le Maurety,50.6301695,3.0097201
Vice - Bar,bar,Klank,50.6250675,3.0479905
Vice - Bar,bar,Café le Bras d'Hambourg,50.63312,3.0896477
Vice - Bar,bar,Oh Gourgandin!,50.6384079,3.0649955
Vice - Bar,bar,Basta,50.6448803,3.0570872
Vice - Bar,bar,Gastama,50.6457777,3.0558305
Vice - Bar,bar,Le Diplomate,50.6340877,3.0968603
Vice - Bar,bar,Au Carrefour,50.6272602,3.0392307
Vice - Bar,bar,Chez Belette,50.633751,3.0668601
Vice - Bar,bar,La Ressourcerie,50.6361457,3.0590285
Vice - Bar,bar,Café du Bois,50.6372896,3.0568969
Vice - Bar,bar,Café Citoyen,50.6327769,3.0634363
Vice - Bar,bar,Pirogue,50.6391498,3.0596216
Vice - Bar,bar,L'Autrement Dit,50.6393627,3.058639
Vice - Bar,bar,Le Kremlin,50.6399757,3.0594886
Vice - Bar,bar,La Dilettante,50.6433892,3.05985
