id_annonce,site,prix,surface,prix_m2,type,description,code_postal,ville,latitude,longitude,url,quartier,type_local,dist_vice_sex-shop,nb_vice_sex-shop_500m,dist_vice_bar,nb_vice_bar_500m,dist_vice_tabac,nb_vice_tabac_500m,dist_vice_cbd_shop,nb_vice_cbd_shop_500m,dist_gentrification_épicerie_fine,nb_gentrification_épicerie_fine_500m,dist_gentrification_atelier_vélo,nb_gentrification_atelier_vélo_500m,dist_nuisance_aire_de_jeux,nb_nuisance_aire_de_jeux_500m,dist_nuisance_discothèque,nb_nuisance_discothèque_500m,dist_superstition_pompes_funèbres,nb_superstition_pompes_funèbres_500m,dist_gentrification_salle_sport,nb_gentrification_salle_sport_500m,dist_vice_kebab,nb_vice_kebab_500m,dist_gentrification_crèche,nb_gentrification_crèche_500m,dist_nuisance_école,nb_nuisance_école_500m,dist_vice_casino,nb_vice_casino_500m,dist_gentrification_yoga,nb_gentrification_yoga_500m,dist_gentrification_torréfacteur,nb_gentrification_torréfacteur_500m,dist_gentrification_fleuriste,nb_gentrification_fleuriste_500m,dist_nuisance_salle_de_concert,nb_nuisance_salle_de_concert_500m,dist_nuisance_station_service,nb_nuisance_station_service_500m,dist_superstition_cimetière,nb_superstition_cimetière_500m
1001,SeLoger,1001.0,55.0,18.2,Appartement,"3 pièce - 2 chambre - s, s, 55 m², étage",69003,Lyon,45.75060979692223,4.890378877526253,https://www.seloger.com/annonces/locations/appartement/lyon-69/259419669.htm?serp_view=list&search=distributionTypes%3DRent%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR28808%26page%3D9&sort_order_ab_test=sort_order_variant#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M,Montchat,T3,2902.0,0,289.0,3,578.0,0,3249.0,0,335.0,2,348.0,1,182.0,5,2957.0,0,930.0,0,87.0,2,1444.0,0,2368.0,0,242.0,8,4788.0,0,3229.0,0,1741.0,0,283.0,3,4820.0,0,1852.0,0,2898.0,0
1002,SeLoger,1187.0,54.3,21.86,Appartement,"2 pièce - 1 chambre - s, , 54,3 m², étage",69004,Lyon,45.77658766925942,4.811375337496041,https://www.seloger.com/annonces/locations/appartement/lyon-69/260741531.htm?serp_view=list&search=distributionTypes%3DRent%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR28808%26page%3D9&sort_order_ab_test=sort_order_variant#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M,Croix-Rousse Plateau,T2,1839.0,0,387.0,4,391.0,2,401.0,2,415.0,1,337.0,1,21.0,6,624.0,0,934.0,0,428.0,2,448.0,2,382.0,1,98.0,4,3336.0,0,400.0,1,412.0,1,323.0,4,1799.0,0,443.0,1,860.0,0
1003,SeLoger,1350.0,75.0,18.0,Appartement,"3 pièce - 2 chambre - Duplex s, s, 75 m², Étage 2/5",69001,Lyon,45.76660736747662,4.835704808800221,https://www.seloger.com/annonces/locations/appartement/lyon-69/260899943.htm?serp_view=list&search=distributionTypes%3DRent%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR28808%26page%3D9&sort_order_ab_test=sort_order_variant#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L,Terreaux / Hotel de Ville,T3,279.0,4,61.0,66,41.0,7,319.0,1,230.0,9,280.0,3,361.0,6,51.0,4,1031.0,0,68.0,8,316.0,3,944.0,0,75.0,11,2413.0,0,68.0,2,419.0,1,80.0,5,515.0,0,1477.0,0,1796.0,0
1004,SeLoger,1063.0,61.0,17.43,Appartement,"2 pièce - 2 chambre - s, s, 61 m², étage",69003,Lyon,45.76133906864524,4.868072650719664,https://www.seloger.com/annonces/locations/appartement/lyon-69/260864487.htm?serp_view=list&search=distributionTypes%3DRent%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR28808%26page%3D9&sort_order_ab_test=sort_order_variant#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M,Part-Dieu / Villette,T2,1002.0,0,380.0,3,407.0,1,1149.0,0,1213.0,0,375.0,1,327.0,14,859.0,0,1318.0,0,338.0,1,720.0,0,1376.0,0,136.0,10,2862.0,0,1150.0,0,889.0,0,478.0,1,2740.0,0,1408.0,0,2338.0,0
1005,SeLoger,830.0,45.0,18.44,Appartement,"2 pièce - 1 chambre - s, , 45 m², Étage 1/5",69000,Lyon,45.7592768091854,4.843275410053851,https://www.seloger.com/2616ytuygijy/detail.htm?serp_view=list&search=distributionTypes%3DRent%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR28808%26page%3D9&sort_order_ab_test=sort_order_variant#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M,Grand Lyon / Autre,T2,841.0,0,52.0,19,406.0,4,471.0,1,307.0,2,142.0,13,281.0,4,555.0,0,235.0,2,187.0,7,363.0,4,694.0,0,203.0,7,2927.0,0,284.0,2,805.0,0,191.0,2,1456.0,0,914.0,0,2081.0,0
1006,SeLoger,850.0,29.0,29.31,Appartement,"1 pièce - 29 m², Étage 3/5, disponible dès maintenant",69000,Lyon,45.76557386954655,4.8189661301025355,https://www.seloger.com/annonces/locations/appartement/lyon-69/26RDES2EBB7C.htm?serp_view=list&search=distributionTypes%3DRent%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR28808%26page%3D9&sort_order_ab_test=sort_order_variant#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M,Grand Lyon / Autre,Studio/T1,1014.0,0,88.0,5,756.0,0,1024.0,0,116.0,1,485.0,1,298.0,6,617.0,0,717.0,0,474.0,1,792.0,0,866.0,0,143.0,2,3380.0,0,474.0,1,1118.0,0,675.0,0,1242.0,0,1215.0,0,602.0,0
1007,SeLoger,1601.0,95.5,16.76,Appartement,"4 pièce - 2 chambre - s, s, 95,5 m², étage",69006,Lyon,45.777433666496925,4.84777206442855,https://www.seloger.com/annonces/locations/appartement/lyon-69/258873973.htm?serp_view=list&search=distributionTypes%3DRent%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR28808%26page%3D9&sort_order_ab_test=sort_order_variant#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M,Brotteaux / Foch,Grand (T4+),1432.0,0,563.0,0,460.0,1,1123.0,0,872.0,0,837.0,0,444.0,1,1161.0,0,1067.0,0,777.0,0,991.0,0,634.0,0,423.0,1,902.0,0,840.0,0,941.0,0,959.0,0,1157.0,0,1515.0,0,2301.0,0
1008,SeLoger,1059.0,36.9,28.7,Appartement,"2 pièce - 1 chambre - s, , 36,9 m², étage",69005,Lyon,45.75591421307886,4.8251240768195505,https://www.seloger.com/annonces/locations/appartement/lyon-69/260607035.htm?serp_view=list&search=distributionTypes%3DRent%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR28808%26page%3D9&sort_order_ab_test=sort_order_variant#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L,Vieux Lyon,T2,1031.0,0,82.0,16,499.0,1,424.0,1,187.0,5,186.0,3,175.0,16,508.0,0,104.0,2,261.0,7,418.0,2,448.0,1,114.0,14,3858.0,0,460.0,1,406.0,1,194.0,5,1772.0,0,1870.0,0,1089.0,0
1009,SeLoger,650.0,46.0,14.13,Appartement,"2 pièce - 1 chambre - s, , 46 m², étage",69005,Lyon,45.762248165616775,4.82577400672214,https://www.seloger.com/annonces/locations/appartement/lyon-69/260031927.htm?serp_view=list&search=distributionTypes%3DRent%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR28808%26page%3D9&sort_order_ab_test=sort_order_variant#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L,Vieux Lyon,T2,619.0,0,212.0,37,228.0,3,758.0,0,124.0,12,558.0,0,100.0,6,300.0,1,525.0,0,452.0,1,309.0,1,935.0,0,163.0,8,3263.0,0,564.0,0,493.0,1,276.0,2,1112.0,0,1615.0,0,939.0,0
1010,SeLoger,1003.0,59.0,17.0,Appartement,"3 pièce - 2 chambre - s, s, 59 m², étage",69007,Lyon,45.74843077036639,4.849413863690184,https://www.seloger.com/annonces/locations/appartement/lyon-69/260013781.htm?serp_view=list&search=distributionTypes%3DRent%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR28808%26page%3D9&sort_order_ab_test=sort_order_variant#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L,Guillotière / Jean Macé,T3,1343.0,0,107.0,19,111.0,5,649.0,0,181.0,1,380.0,4,63.0,7,575.0,0,628.0,0,259.0,5,395.0,1,513.0,0,48.0,11,4048.0,0,467.0,1,1319.0,0,228.0,4,2752.0,0,721.0,0,793.0,0
1011,SeLoger,1500.0,134.3,11.17,Appartement,"4 pièce - 3 chambre - s, s, 134,3 m², Étage 3/3",69003,Lyon,45.761308289379826,4.850870339369497,https://www.seloger.com/annonces/locations/appartement/lyon-69/260005347.htm?serp_view=list&search=distributionTypes%3DRent%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR28808%26page%3D9&sort_order_ab_test=sort_order_variant#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M,Part-Dieu / Villette,Grand (T4+),388.0,1,229.0,5,373.0,1,289.0,2,475.0,1,405.0,3,54.0,7,895.0,0,725.0,0,227.0,9,269.0,2,495.0,1,51.0,10,2611.0,0,227.0,3,307.0,3,71.0,6,1613.0,0,776.0,0,2124.0,0
1012,SeLoger,1557.0,96.6,16.12,Appartement,"3 pièce - s, 96,6 m², Étage 5/7",69003,Lyon,45.745743051141936,4.874422990243099,https://www.seloger.com/annonces/locations/appartement/lyon-69/259935073.htm?serp_view=list&search=distributionTypes%3DRent%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR28808%26page%3D9&sort_order_ab_test=sort_order_variant#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M,Part-Dieu / Villette,T3,2150.0,0,208.0,2,252.0,2,2345.0,0,531.0,0,907.0,0,301.0,6,2014.0,0,311.0,4,376.0,2,191.0,3,1128.0,0,144.0,10,4652.0,0,2228.0,0,390.0,1,279.0,1,4130.0,0,600.0,0,1558.0,0
1013,SeLoger,730.0,38.6,18.91,Appartement,"1 pièce - 38,6 m², Étage 1/5",69001,Lyon,45.76934016807618,4.81839030591769,https://www.seloger.com/annonces/locations/appartement/lyon-69/260741499.htm?serp_view=list&search=distributionTypes%3DRent%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR28808%26page%3D9&sort_order_ab_test=sort_order_variant#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M,Pentes Croix-Rousse,Studio/T1,1098.0,0,95.0,5,831.0,0,1008.0,0,356.0,1,543.0,0,186.0,7,565.0,0,1019.0,0,534.0,0,630.0,0,1018.0,0,210.0,10,3170.0,0,534.0,0,1043.0,0,522.0,0,1151.0,0,812.0,0,935.0,0
