categorie_cavalier,type_osm,nom_lieu,latitude,longitude,code_postal
Vice - Bar,bar,Brasserie Debourg,45.7316168,4.8295495,69007
Vice - Bar,bar,Les Assembleurs,45.7584065,4.8421061,69003
Vice - Bar,bar,Le 14,45.7463647,4.8636658,69008
Vice - Bar,bar,Le Las Vegas,45.7318336,4.8300277,69007
Vice - Bar,bar,L'Apostrophe,45.7661807,4.8278596,69005
Vice - Bar,bar,La Marquise,45.758977,4.840036,69003
Vice - Bar,bar,Berzingue,45.7627905,4.840564,69003
Vice - Bar,bar,Selcius,45.7387676,4.8146175,69002
Vice - Bar,bar,Café des Sports,45.7533427,4.8918774,69003
Vice - Bar,bar,La Corniche,45.769638,4.8251857,69001
Vice - Bar,bar,Le Grand Café Neuf,45.7529652,4.8546529,69003
Vice - Bar,bar,La porte au prince,45.7275064,4.8836954,69008
Vice - Bar,bar,Bar musée Gadagne,45.7641317,4.8270948,69005
Vice - Bar,bar,L'atelier des canulars,45.7504269,4.8465891,69007
Vice - Bar,bar,Cochon iodé,45.7756072,4.8347299,69004
Vice - Bar,bar,Jack's Bar,45.7655291,4.8276435,69005
Vice - Bar,bar,Nakamal,45.7680588,4.8008057,69009
Vice - Bar,bar,Crazy Dog,45.7677776,4.8332585,69001
Vice - Bar,bar,L'Atenium,45.751274,4.8449204,69007
Vice - Bar,bar,Café de la Soie,45.778074,4.8346675,69004
Vice - Bar,bar,Pélican,45.7693619,4.8315124,69001
Vice - Bar,bar,Café des Antiquaires,45.7535968,4.830439,69002
Vice - Bar,bar,La Linotte,45.754348,4.83071,69002
Vice - Bar,bar,Voyageurs,45.7745827,4.8309974,69004
Vice - Bar,bar,Le petit coin,45.7793897,4.8344802,69004
Vice - Bar,bar,Le Chabada Café,45.7644303,4.832536,69002
Vice - Bar,bar,Broc'Bar,45.7660636,4.8317048,69001
Vice - Bar,bar,Cap 6,45.7646686,4.8346335,69002
Vice - Bar,bar,Soda Bar,45.7683105,4.8290173,69001
Vice - Bar,bar,L'Antiquaire,45.767922,4.8306351,69001
Vice - Bar,bar,Sauf Imprévu,45.7649541,4.8434918,69006
Vice - Bar,bar,Au Grand Paris,45.7750631,4.8052187,69009
Vice - Bar,bar,Le Bistrot fait sa broc',45.7768298,4.8334846,69004
Vice - Bar,bar,Le Petit Bar,45.7530545,4.8700406,69003
Vice - Bar,bar,La Faute aux Ours,45.754752,4.8431398,69007
Vice - Bar,bar,La Passagère,45.7606057,4.8402604,69003
Vice - Bar,bar,Bébé,45.7610785,4.8403229,69003
Vice - Bar,bar,Sauvage,45.7541332,4.8394258,69007
Vice - Bar,bar,Félix Café,45.7556397,4.8425979,69003
Vice - Bar,bar,La Mi Graine,45.7664433,4.8273998,69005
Vice - Bar,bar,Le Gambetta,45.7560185,4.8415262,69003
Vice - Bar,bar,Plouf Bateau Mouse,45.7595534,4.8400976,69003
Vice - Bar,bar,L'Angle d'Or,45.7546058,4.8420521,69007
Vice - Bar,bar,Le Bec de Jazz,45.7704846,4.8332759,69001
Vice - Bar,bar,Olmé,45.7537657,4.840532,69007
Vice - Bar,bar,Blue Monday,45.7537039,4.8402826,69007
Vice - Bar,bar,Le Chatelet,45.7518642,4.8401552,69007
Vice - Bar,bar,Le Commerce,45.749447,4.8387511,69007
Vice - Bar,bar,La Pipe,45.7469306,4.8370236,69007
Vice - Bar,bar,Le Casse vins,45.7670256,4.8545274,69006
Vice - Bar,bar,Alma,45.7484333,4.854575,69007
Vice - Bar,bar,Malto,45.7577692,4.8411711,69003
Vice - Bar,bar,L'Overdrive,45.7497399,4.8438736,69007
Vice - Bar,bar,AFK Bar,45.748268,4.8433461,69007
Vice - Bar,bar,La Baignoire,45.7539604,4.8428911,69007
Vice - Bar,bar,Mostaganem,45.752247,4.8440337,69007
Vice - Bar,bar,Chez Michel,45.7514305,4.844894,69007
Vice - Bar,bar,Lokace,45.7508988,4.8455368,69007
Vice - Bar,bar,Bar des Artistes,45.7510651,4.8426149,69007
Vice - Bar,bar,The PXL tavern,45.756932,4.8539112,69003
Vice - Bar,bar,Moneda,45.7617005,4.8323102,69002
Vice - Bar,bar,The black pearl tavern,45.7638225,4.864709,69006
Vice - Bar,bar,Kigali Life Bar,45.7532946,4.8414235,69007
Vice - Bar,bar,Le Tanger,45.7538624,4.8420421,69007
Vice - Bar,bar,Le Barberousse,45.7686593,4.8356734,69001
Vice - Bar,bar,Le Bistrot Royal,45.7549647,4.8450213,69003
Vice - Bar,bar,Les Assembleurs,45.7503001,4.8570105,69007
Vice - Bar,bar,La Madone,45.7689426,4.8324435,69001
Vice - Bar,bar,La Barge,45.7645798,4.8407664,69006
Vice - Bar,bar,Skybar,45.767528,4.8306667,69001
Vice - Bar,bar,La Bouteillerie,45.7683124,4.8291032,69001
