Titre_Lieu,Prix,Infos,Lien,Image,DerniereVue,Quartier,Description
Location Appartement 5 pièces 139 m2,2 000 €par mois,"2 000 €par mois
PRIX EN BAISSE
LOCATION",https://www.orpi.com/annonce-location-appartement-t5-lyon-4-69004-3c43dea7-9d57-4f38-b138-00589d031f9c/,,2026-09-24,,"Appartement standing T5 - proche métro HENON - 139.41M² - 2 000€ CC. Rue Hénon - Proximité métro Hénon et toutes commodités. Appartement de type 5 meublé au 6eme étage sur 7 avec ascenseur. Il dispose d'une entrée, d'une cuisine indépendante équipée donnant sur cours et jardin, un grand séjour, quatre chambres spacieuses, une salle de bains, une salle d'eau et deux WC séparés. Un garage double en enfilade en sous-sol complète le bien. Chauffage individuel électrique par le plafond. Résidence sécurisée. Disponible de suite. Loyer 1812€ + charges 188€ (Communs, eau froide)"
Location Appartement 3 pièces 65 m2,900 €par mois,"900 €par mois
LOCATION",https://www.orpi.com/annonce-location-appartement-t3-lyon-5-69005-786ac9ec-9175-430b-bf49-cb9d5aadcc31/,,2026-09-24,,"A LOUER - T4 - 2 CHAMBRES - RUE DES ACQUEDUCS LYON 5. POUR CANDIDATER : cliquez sur ""envoyer un message"" ou cliquez sur ""contacter l'agence"", vous recevrez un lien par mail pour pré valider votre dossier et obtenir un rendez-vous. À louer, T4 de 65,41 m² situé au 3ᵉ étage d'une résidence au 38 rue des Aqueducs à Lyon 5ᵉ, dans un secteur recherché, calme et agréable, à proximité des commerces, des transports en commun et des établissements scolaires. Cet appartement se compose d'une spacieuse pièce de vie de plus de 30 m² (séjour double), d'une petite cuisine indépendante, de deux chambres, d'une salle de bains, et d'un WC séparé. Une cave complète ce bien. Logement très lumineux. Chauffage et eau froide collective (inclus dans les charges) Disponible dès maintenant."
Location Stationnement,142 €par mois,"142 €par mois
LOCATION",https://www.orpi.com/annonce-location-stationnement-lyon-2-69002-ce75ef4b-2a2b-4423-8c44-e37b3cc87c83/,,2026-09-24,,"Parking / box Lyon 12.5 m2-Confluence. Nous vous proposons à la location un garage de 12.5 m² au 1 quai Antoine Riboud à Lyon 2, quartier très recherché de Lyon Confluence : à deux pas de la darse et du centre commercial. Il se situe au sous-sol de l'ensemble immobilier Saone Park Sud. Vous disposerez d'un badge pour porte d'accès - Fermeture et ouverture manuelle de la porte du box. Disponible immédiatement !"
Location Appartement 5 pièces 62 m2,1 100 €par mois,"1 100 €par mois
LOCATION",https://www.orpi.com/annonce-location-appartement-t5-lyon-5-69005-388f0486-2d6f-4c4d-8e62-46e2dbec555b/,,2026-09-24,,"Appartement T4 meublé – Lyon 5ᵉ. Situé dans un secteur calme et recherché du 5ᵉ arrondissement de Lyon, ce bel appartement meublé vous séduira par sa luminosité et son agencement fonctionnel. Il comprend une entrée, un séjour spacieux et lumineux, une cuisine indépendante entièrement équipée, trois chambres avec rangements, une salle de douche et un WC séparé. Une cave en sous-sol et un stationnement extérieur privatif vient compléter ce bien. L’appartement se situe rue Commandant Charcot, dans un quartier résidentiel apprécié pour son calme et sa qualité de vie. Les transports en commun sont facilement accessibles, notamment la ligne de bus C20 qui relie Bellecour à Francheville, facilitant les déplacements vers le centre-ville comme vers l’ouest lyonnais. Pour toute information ou pour planifier une visite, n’hésitez pas à nous contacter."
Location Appartement 2 pièces 59 m2,1 180 €par mois,"1 180 €par mois
LOCATION",https://www.orpi.com/annonce-location-appartement-t2-lyon-1-69001-65b5da19-e403-4e1c-a49c-57bb01ae8bc5/,,2026-09-24,,"Appartement À Louer. LYON 1 - QUARTIER CROIX PAQUET - Bel appartement T2 MEUBLE en très bon état avec climatisation réversible. Il est composé d'une pièce principale avec hauteur de plafond, charme de l'ancien et moulures, d'une entrée avec une cuisine aménagée et équipée (machine à laver), d'une chambre et d'une salle d'eau avec WC. Un séjour donnant sur deux petits balcons avec vue sur le parc croix Paquet. Libre à partir du 30 Juillet 2026. Loyer charges comprises : 1.180  (dont charges communes : 75 ) Dépôt de garantie : 1.180  Honoraires locataire : 774 €"
Location Stationnement,121 €par mois,"121 €par mois
LOCATION",https://www.orpi.com/annonce-location-stationnement-lyon-8-69008-7b9a327c-8483-432c-8cdf-c2b57965fc5a/,,2026-09-24,,"À louer – Garage fermé – Lyon 8ᵉ. Garage fermé situé au niveau -2 d'une résidence sécurisée, au 18 rue Henri Pensier à Lyon 8ᵉ. Disponible immédiatement. Loyer : 121 € charges comprises par mois. Honoraires de location : 150 €."
Location Appartement 5 pièces 86 m2,1 920 €par mois,"1 920 €par mois
LOCATION",https://www.orpi.com/annonce-location-appartement-t5-lyon-9-69009-0a621e98-34c5-4033-a751-ce0a1b36ac39/,,2026-09-24,,"Appartement Lyon 5 pièce(s). LYON 9 - VAISE - Grand appartement meuble d'une surface utile de 86m2 comprenant une séjour, 4 chambres avec armoires, une cuisine aménagée et équipée, une salle de bains et une cave. Proche commerces et transports au pied de l'immeuble. Indice de performance énergétique : C Libre de suite. Loyer charges comprises : 1.290  Dépôt de garantie : 1.290  Honoraires locataire : 1.126 "
Location Appartement 5 pièces 82 m2,1 800 €par mois,"1 800 €par mois
LOCATION",https://www.orpi.com/annonce-location-appartement-t5-lyon-5-69005-248-028062-884/,,2026-09-24,,"Appartement Lyon 5 pièces. LYON 5 - Quartier SAINT IRENEE - Grand appartement meuble d'une surface utile de 94m2 comprenant un séjour, 4 chambres avec armoires, une cuisine aménagée et équipée, une salle d'eau, un grand balcon/loggia et une cave. Proche commerces et transports au pied de l'immeuble. Indice de performance énergétique : D Disponible de suite. Loyer charges comprises : 1.380  Dépôt de garantie : 1.380  Honoraires locataire : 1.082 "
Location Appartement 4 pièces 64 m2,1 522 €par mois,"1 522 €par mois
LOCATION",https://www.orpi.com/annonce-location-appartement-t4-lyon-3-69003-4153c01e-2210-4204-8694-ade053b4f58c/,,2026-09-24,,"IDEAL COLOCATION - Appartement T4 meublé de 63 m2. Appartement de type T4 meublé de 63.13m2 situé au 9 rue David 69003 LYON. L'appartement se compose d'un hall d'entrée, d'une cuisine ouverte équipée, d'un séjour, d'une salle d'eau, de wc séparés et de trois chambres. Idéal colocation. Le logement a été entièrement rénové et meublé. A proximité immédiate des transports. Disponible immédiatement Loyer de référence majoré (loyer de base à ne pas dépasser): 947€ Loyer de base : 947€ Complément de loyer : 364€"
Location Stationnement 12 m2,100 €par mois,"100 €par mois
LOCATION",https://www.orpi.com/annonce-location-stationnement-lyon-3-69003-283b7bf3-3703-4a27-92cc-00933ae15848/,,2026-09-24,,"Garage fermé à louer à 100 € CC - 308 rue Paul Bert, 69003 LYON. Orpi vous propose en exclusivité un garage fermé en sous-sol à louer à 100 € CC. Entrée petite rue saint Eusèbe. Secteur Part-Dieu - proche transports et toutes commodités idéal pour une petite citadine. Honoraires à 172.08 € euros ( état des lieux d'entrée inclus ) Disponible à partir du 21 juillet 2026 - Visite accompagnée sur rendez-vous - Contacter le service location au 04 12 33 00 81."
