categorie_cavalier,type_osm,nom_lieu,latitude,longitude,code_postal
Superstition - Pompes Funèbres,funeral_directors,PFG,45.7815477,4.8326079,69004.0
Superstition - Pompes Funèbres,funeral_directors,Eco funéraire,45.743621,4.8785389,69003.0
Superstition - Pompes Funèbres,funeral_directors,Centre Funéraire Rivière,45.7436765,4.8771262,69003.0
Superstition - Pompes Funèbres,funeral_directors,Pompes funèbre L'autre rive,45.7812056,4.8325461,69004.0
Superstition - Pompes Funèbres,funeral_directors,Pôle funéraire public Métropole de Lyon,45.7814017,4.8325706,69004.0
Superstition - Pompes Funèbres,funeral_directors,Pompes Funèbres Service Catholique des Funérailles,45.7583626,4.8296218,69002.0
Superstition - Pompes Funèbres,funeral_directors,Services funéraires PFG,45.73391,4.8764715,69008.0
Superstition - Pompes Funèbres,funeral_directors,Pompes Funèbres Générales Lyon Kruger,45.7363827,4.8802482,69008.0
Superstition - Pompes Funèbres,funeral_directors,PFG,45.7699966,4.8564613,69006.0
Superstition - Pompes Funèbres,funeral_directors,Pompes funèbres Chaboud,45.7433,4.8773096,69008.0
Superstition - Pompes Funèbres,funeral_directors,PFG,45.7571382,4.8408884,69003.0
Superstition - Pompes Funèbres,funeral_directors,Pompes Funèbres Musulmanes Essalam,45.7571757,4.8436337,69003.0
Superstition - Pompes Funèbres,funeral_directors,L'Éternité,45.7532604,4.8452163,69007.0
Superstition - Pompes Funèbres,funeral_directors,Chambre Funéraire de la Croix-Rousse,45.7843796,4.8209347,69004.0
Superstition - Pompes Funèbres,funeral_directors,Lyon Berthelot,45.7409213,4.8558269,69007.0
Superstition - Pompes Funèbres,funeral_directors,Funeris,45.7406853,4.8556055,69007.0
Superstition - Pompes Funèbres,funeral_directors,Inconnu,45.740664,4.8556934,69007.0
Superstition - Pompes Funèbres,funeral_directors,Pompes funèbres Rozier,45.7414039,4.8533792,69007.0
Superstition - Pompes Funèbres,funeral_directors,Service Chrétien de Funérailles,45.7568445,4.8249469,69005.0
Superstition - Pompes Funèbres,funeral_directors,La Maison des Obsèques,45.7423859,4.8512363,69007.0
Superstition - Pompes Funèbres,funeral_directors,Roc-Eclerc,45.7426034,4.8938424,69003.0
Superstition - Pompes Funèbres,funeral_directors,Noir Clair,45.7492338,4.835097,69007.0
Superstition - Pompes Funèbres,funeral_directors,Pôle Funéraire Public,45.7435402,4.8784997,69003.0
Superstition - Pompes Funèbres,funeral_directors,Pompes funèbres de France,45.7807424,4.8324598,69004.0
Superstition - Pompes Funèbres,funeral_directors,Centre funéraire Rivière,45.7809125,4.8324869,69004.0
Superstition - Pompes Funèbres,funeral_directors,Roc Eclerc,45.7816152,4.8326308,69004.0
Superstition - Pompes Funèbres,funeral_directors,Marbrerie Paul Favre,45.7818085,4.820814,69004.0
Superstition - Pompes Funèbres,funeral_directors,Inconnu,45.7629535,4.7974825,69005.0
Superstition - Pompes Funèbres,funeral_directors,Marbrerie - Zone technique,45.761335,4.8120077,69005.0
Vice - Bar,bar,Le Petit Bar,45.7530545,4.8700406,69003.0
Vice - Bar,bar,L’antidote,45.7559499,4.8240702,69005.0
Vice - Bar,bar,La Plante Du Loup,45.7733812,4.8084084,69009.0
Vice - Bar,bar,Pélo,45.774493,4.8061657,69009.0
Gentrification - Salle Sport,fitness_centre,Banane & basket,45.7709288,4.8077511,69009.0
Gentrification - Salle Sport,fitness_centre,WellNess,45.7516682,4.8524991,69007.0
Gentrification - Salle Sport,fitness_centre,L'Appart Fitness,45.7680154,4.8376767,69001.0
Gentrification - Salle Sport,fitness_centre,Basic-Fit,45.7601691,4.8614509,69003.0
Gentrification - Salle Sport,fitness_centre,L'appart Fitness,45.7605435,4.8416864,69003.0
Gentrification - Salle Sport,fitness_centre,Fédération Internationale de Krav Opérationnel et Professionnel,45.7570916,4.8633673,69003.0
Gentrification - Salle Sport,fitness_centre,Yogilude,45.7608779,4.8461777,69003.0
Gentrification - Salle Sport,fitness_centre,Small yoga,45.7532241,4.8265646,69002.0
Gentrification - Salle Sport,fitness_centre,La bulle yoga,45.7570354,4.8297714,69002.0
Gentrification - Salle Sport,fitness_centre,Latitude yoga,45.7535081,4.8283017,69002.0
Gentrification - Salle Sport,fitness_centre,OnlYoga,45.7688411,4.835763,69001.0
Gentrification - Salle Sport,fitness_centre,CrossFit,45.7735338,4.7972435,69009.0
Gentrification - Salle Sport,fitness_centre,Neoness,45.7639272,4.8657799,69006.0
Gentrification - Salle Sport,fitness_centre,Win fitness,45.7434769,4.87082,69008.0
Gentrification - Salle Sport,fitness_centre,Wellness sport club,45.7631177,4.8461956,69003.0
Gentrification - Salle Sport,fitness_centre,CapoFit,45.7537064,4.8543328,69003.0
Gentrification - Salle Sport,fitness_centre,L'idéal,45.7663734,4.8561171,69006.0
Gentrification - Salle Sport,fitness_centre,Centre de yoga Lyon Jean Macé,45.7451139,4.8457217,69007.0
Gentrification - Salle Sport,fitness_centre,Neoness,45.7375196,4.8684199,69008.0
Gentrification - Salle Sport,fitness_centre,École de Yoga Mysore,45.7503946,4.8294089,69002.0
Gentrification - Salle Sport,fitness_centre,L'Appart Fitness,45.7585482,4.834803,69002.0
Gentrification - Salle Sport,fitness_centre,KeepCool Lyon 8,45.7314478,4.8732094,69008.0
Gentrification - Salle Sport,fitness_centre,L'Appart Fitness Lyon 8 Laennec,45.7366286,4.8808019,69008.0
Gentrification - Salle Sport,fitness_centre,Club Victor Hugo,45.7530012,4.8297712,69002.0
Gentrification - Salle Sport,fitness_centre,Fit by So,45.757687,4.8285475,69002.0
Gentrification - Salle Sport,fitness_centre,L'Appart Fitness,45.7675449,4.8367657,69001.0
Gentrification - Salle Sport,fitness_centre,Club 48,45.7444846,4.8698414,69008.0
Gentrification - Salle Sport,fitness_centre,Basic-Fit,45.7655839,4.8361201,69001.0
Gentrification - Salle Sport,fitness_centre,Wellness Sport Club,45.7394961,4.8178235,69002.0
Gentrification - Salle Sport,fitness_centre,Interval,45.7539062,4.84741,69003.0
Gentrification - Salle Sport,fitness_centre,XF Coaching Sportif,45.7282885,4.8315904,69007.0
Gentrification - Salle Sport,fitness_centre,Gymnase Descartes,45.7339913,4.8345477,69007.0
Gentrification - Salle Sport,fitness_centre,Physioconcept Santé,45.7795066,4.8375611,69004.0
Gentrification - Salle Sport,fitness_centre,KeepCool,45.7789592,4.8061201,69009.0
Gentrification - Salle Sport,fitness_centre,CrossFit Gerland,45.7366206,4.8417686,69007.0
Gentrification - Salle Sport,fitness_centre,Yoga Korner,45.7668904,4.8349262,69001.0
